text,label
I rarely finish my homework,truth
I forgot to study before exams,truth
I occasionally study before exams,truth
I sometimes exercise,truth
I forgot to study before exams,truth
I sometimes eat healthy food,truth
I rarely finish my homework,truth
I forgot to wake up early,truth
I forgot to finish my homework,truth
I rarely study before exams,truth
I sometimes avoid my phone,truth
I occasionally exercise,truth
I sometimes wake up early,truth
I forgot to eat healthy food,truth
I didn't manage to exercise,truth
I forgot to avoid my phone,truth
I didn't manage to exercise,truth
I sometimes eat healthy food,truth
I didn't manage to avoid my phone,truth
I sometimes study before exams,truth
I sometimes exercise,truth
I forgot to finish my homework,truth
I occasionally eat healthy food,truth
I rarely wake up early,truth
I rarely finish my homework,truth
I forgot to finish my homework,truth
I sometimes study before exams,truth
I didn't manage to wake up early,truth
I didn't manage to study before exams,truth
I forgot to finish my homework,truth
I forgot to wake up early,truth
I didn't manage to eat healthy food,truth
I sometimes eat healthy food,truth
I forgot to wake up early,truth
I occasionally eat healthy food,truth
I occasionally study before exams,truth
I sometimes finish my homework,truth
I didn't manage to study before exams,truth
I didn't manage to exercise,truth
I rarely study before exams,truth
I rarely study before exams,truth
I sometimes wake up early,truth
I forgot to wake up early,truth
I sometimes finish my homework,truth
I sometimes avoid my phone,truth
I forgot to study before exams,truth
I rarely avoid my phone,truth
I didn't manage to avoid my phone,truth
I didn't manage to avoid my phone,truth
I forgot to wake up early,truth
I sometimes wake up early,truth
I occasionally eat healthy food,truth
I sometimes finish my homework,truth
I didn't manage to study before exams,truth
I forgot to exercise,truth
I rarely wake up early,truth
I sometimes study before exams,truth
I sometimes study before exams,truth
I forgot to study before exams,truth
I occasionally avoid my phone,truth
I sometimes exercise,truth
I rarely avoid my phone,truth
I sometimes finish my homework,truth
I forgot to avoid my phone,truth
I sometimes avoid my phone,truth
I rarely study before exams,truth
I didn't manage to wake up early,truth
I rarely study before exams,truth
I forgot to eat healthy food,truth
I occasionally exercise,truth
I didn't manage to finish my homework,truth
I forgot to eat healthy food,truth
I forgot to exercise,truth
I rarely wake up early,truth
I occasionally exercise,truth
I forgot to finish my homework,truth
I sometimes wake up early,truth
I sometimes study before exams,truth
I forgot to exercise,truth
I rarely wake up early,truth
I rarely eat healthy food,truth
I occasionally study before exams,truth
I forgot to finish my homework,truth
I forgot to study before exams,truth
I rarely avoid my phone,truth
I sometimes wake up early,truth
I occasionally eat healthy food,truth
I didn't manage to finish my homework,truth
I occasionally exercise,truth
I rarely study before exams,truth
I forgot to eat healthy food,truth
I rarely eat healthy food,truth
I sometimes avoid my phone,truth
I occasionally wake up early,truth
I sometimes wake up early,truth
I sometimes finish my homework,truth
I didn't manage to avoid my phone,truth
I sometimes study before exams,truth
I didn't manage to wake up early,truth
I occasionally wake up early,truth
I occasionally study before exams,truth
I occasionally exercise,truth
I forgot to avoid my phone,truth
I forgot to eat healthy food,truth
I didn't manage to wake up early,truth
I occasionally finish my homework,truth
I forgot to eat healthy food,truth
I occasionally exercise,truth
I occasionally finish my homework,truth
I occasionally finish my homework,truth
I forgot to wake up early,truth
I forgot to avoid my phone,truth
I sometimes eat healthy food,truth
I occasionally wake up early,truth
I sometimes finish my homework,truth
I rarely wake up early,truth
I occasionally eat healthy food,truth
I rarely finish my homework,truth
I forgot to eat healthy food,truth
I occasionally avoid my phone,truth
I rarely wake up early,truth
I forgot to study before exams,truth
I didn't manage to eat healthy food,truth
I didn't manage to eat healthy food,truth
I didn't manage to finish my homework,truth
I rarely exercise,truth
I sometimes finish my homework,truth
I forgot to wake up early,truth
I didn't manage to eat healthy food,truth
I didn't manage to wake up early,truth
I occasionally finish my homework,truth
I didn't manage to study before exams,truth
I didn't manage to wake up early,truth
I forgot to exercise,truth
I occasionally avoid my phone,truth
I rarely finish my homework,truth
I occasionally avoid my phone,truth
I sometimes finish my homework,truth
I forgot to study before exams,truth
I didn't manage to study before exams,truth
I forgot to study before exams,truth
I occasionally avoid my phone,truth
I rarely study before exams,truth
I rarely avoid my phone,truth
I rarely eat healthy food,truth
I forgot to wake up early,truth
I occasionally exercise,truth
I didn't manage to avoid my phone,truth
I forgot to wake up early,truth
I didn't manage to avoid my phone,truth
I sometimes avoid my phone,truth
I sometimes wake up early,truth
I rarely eat healthy food,truth
I sometimes eat healthy food,truth
I rarely wake up early,truth
I forgot to wake up early,truth
I didn't manage to finish my homework,truth
I occasionally eat healthy food,truth
I didn't manage to avoid my phone,truth
I didn't manage to finish my homework,truth
I occasionally wake up early,truth
I didn't manage to wake up early,truth
I didn't manage to exercise,truth
I didn't manage to finish my homework,truth
I rarely finish my homework,truth
I sometimes eat healthy food,truth
I rarely finish my homework,truth
I didn't manage to exercise,truth
I occasionally eat healthy food,truth
I rarely exercise,truth
I sometimes study before exams,truth
I rarely study before exams,truth
I rarely eat healthy food,truth
I didn't manage to study before exams,truth
I forgot to eat healthy food,truth
I rarely wake up early,truth
I rarely exercise,truth
I sometimes eat healthy food,truth
I occasionally wake up early,truth
I occasionally wake up early,truth
I rarely avoid my phone,truth
I didn't manage to eat healthy food,truth
I didn't manage to avoid my phone,truth
I occasionally eat healthy food,truth
I occasionally eat healthy food,truth
I occasionally eat healthy food,truth
I rarely wake up early,truth
I sometimes study before exams,truth
I occasionally wake up early,truth
I didn't manage to eat healthy food,truth
I sometimes exercise,truth
I occasionally finish my homework,truth
I occasionally eat healthy food,truth
I didn't manage to exercise,truth
I occasionally eat healthy food,truth
I sometimes finish my homework,truth
I rarely eat healthy food,truth
I forgot to finish my homework,truth
I sometimes study before exams,truth
I forgot to finish my homework,truth
I occasionally eat healthy food,truth
I occasionally exercise,truth
I forgot to eat healthy food,truth
I sometimes eat healthy food,truth
I forgot to eat healthy food,truth
I occasionally wake up early,truth
I rarely finish my homework,truth
I rarely study before exams,truth
I occasionally eat healthy food,truth
I sometimes finish my homework,truth
I forgot to wake up early,truth
I didn't manage to study before exams,truth
I rarely study before exams,truth
I occasionally study before exams,truth
I didn't manage to avoid my phone,truth
I didn't manage to wake up early,truth
I occasionally eat healthy food,truth
I sometimes study before exams,truth
I sometimes avoid my phone,truth
I rarely exercise,truth
I occasionally finish my homework,truth
I sometimes exercise,truth
I rarely finish my homework,truth
I occasionally wake up early,truth
I forgot to avoid my phone,truth
I didn't manage to avoid my phone,truth
I occasionally exercise,truth
I forgot to wake up early,truth
I forgot to study before exams,truth
I didn't manage to avoid my phone,truth
I forgot to eat healthy food,truth
I occasionally exercise,truth
I rarely study before exams,truth
I rarely finish my homework,truth
I forgot to finish my homework,truth
I occasionally study before exams,truth
I occasionally exercise,truth
I rarely finish my homework,truth
I sometimes avoid my phone,truth
I didn't manage to wake up early,truth
I occasionally finish my homework,truth
I didn't manage to avoid my phone,truth
I occasionally wake up early,truth
I forgot to eat healthy food,truth
I sometimes avoid my phone,truth
I occasionally eat healthy food,truth
I rarely study before exams,truth
I occasionally eat healthy food,truth
I forgot to exercise,truth
I rarely study before exams,truth
I sometimes finish my homework,truth
I rarely avoid my phone,truth
I sometimes exercise,truth
I didn't manage to wake up early,truth
I rarely finish my homework,truth
I occasionally wake up early,truth
I sometimes avoid my phone,truth
I didn't manage to exercise,truth
I sometimes finish my homework,truth
I forgot to study before exams,truth
I rarely wake up early,truth
I sometimes avoid my phone,truth
I occasionally eat healthy food,truth
I occasionally finish my homework,truth
I occasionally eat healthy food,truth
I sometimes avoid my phone,truth
I forgot to exercise,truth
I didn't manage to study before exams,truth
I sometimes avoid my phone,truth
I didn't manage to study before exams,truth
I forgot to study before exams,truth
I sometimes finish my homework,truth
I rarely avoid my phone,truth
I rarely study before exams,truth
I sometimes eat healthy food,truth
I didn't manage to study before exams,truth
I didn't manage to study before exams,truth
I forgot to wake up early,truth
I occasionally wake up early,truth
I didn't manage to wake up early,truth
I occasionally exercise,truth
I sometimes study before exams,truth
I occasionally exercise,truth
I rarely avoid my phone,truth
I occasionally wake up early,truth
I sometimes study before exams,truth
I forgot to study before exams,truth
I didn't manage to exercise,truth
I sometimes wake up early,truth
I rarely eat healthy food,truth
I forgot to finish my homework,truth
I rarely wake up early,truth
I didn't manage to eat healthy food,truth
I occasionally study before exams,truth
I occasionally study before exams,truth
I occasionally study before exams,truth
I rarely exercise,truth
I didn't manage to exercise,truth
I forgot to finish my homework,truth
I sometimes wake up early,truth
I sometimes wake up early,truth
I rarely avoid my phone,truth
I occasionally finish my homework,truth
I rarely avoid my phone,truth
I forgot to exercise,truth
I didn't manage to wake up early,truth
I sometimes study before exams,truth
I sometimes wake up early,truth
I occasionally wake up early,truth
I occasionally avoid my phone,truth
I sometimes study before exams,truth
I occasionally avoid my phone,truth
I forgot to exercise,truth
I forgot to eat healthy food,truth
I forgot to finish my homework,truth
I sometimes avoid my phone,truth
I didn't manage to eat healthy food,truth
I rarely study before exams,truth
I forgot to eat healthy food,truth
I forgot to exercise,truth
I forgot to wake up early,truth
I sometimes finish my homework,truth
I occasionally finish my homework,truth
I sometimes eat healthy food,truth
I rarely finish my homework,truth
I sometimes wake up early,truth
I rarely exercise,truth
I occasionally study before exams,truth
I didn't manage to finish my homework,truth
I rarely wake up early,truth
I occasionally wake up early,truth
I forgot to exercise,truth
I occasionally avoid my phone,truth
I rarely study before exams,truth
I didn't manage to wake up early,truth
I occasionally study before exams,truth
I forgot to study before exams,truth
I sometimes finish my homework,truth
I occasionally avoid my phone,truth
I didn't manage to finish my homework,truth
I didn't manage to study before exams,truth
I rarely finish my homework,truth
I sometimes study before exams,truth
I forgot to wake up early,truth
I sometimes wake up early,truth
I sometimes exercise,truth
I rarely finish my homework,truth
I occasionally eat healthy food,truth
I didn't manage to avoid my phone,truth
I sometimes finish my homework,truth
I rarely finish my homework,truth
I didn't manage to eat healthy food,truth
I didn't manage to eat healthy food,truth
I sometimes finish my homework,truth
I didn't manage to study before exams,truth
I occasionally wake up early,truth
I rarely avoid my phone,truth
I didn't manage to wake up early,truth
I sometimes finish my homework,truth
I rarely exercise,truth
I rarely eat healthy food,truth
I occasionally finish my homework,truth
I forgot to study before exams,truth
I forgot to study before exams,truth
I rarely wake up early,truth
I rarely finish my homework,truth
I forgot to finish my homework,truth
I didn't manage to study before exams,truth
I forgot to avoid my phone,truth
I rarely eat healthy food,truth
I didn't manage to wake up early,truth
I sometimes eat healthy food,truth
I forgot to study before exams,truth
I sometimes exercise,truth
I forgot to wake up early,truth
I sometimes wake up early,truth
I forgot to study before exams,truth
I rarely avoid my phone,truth
I sometimes finish my homework,truth
I didn't manage to eat healthy food,truth
I didn't manage to wake up early,truth
I rarely finish my homework,truth
I didn't manage to wake up early,truth
I occasionally exercise,truth
I forgot to eat healthy food,truth
I forgot to finish my homework,truth
I sometimes study before exams,truth
I forgot to eat healthy food,truth
I sometimes finish my homework,truth
I forgot to exercise,truth
I sometimes exercise,truth
I sometimes finish my homework,truth
I forgot to exercise,truth
I forgot to wake up early,truth
I occasionally study before exams,truth
I rarely finish my homework,truth
I rarely finish my homework,truth
I forgot to avoid my phone,truth
I occasionally avoid my phone,truth
I occasionally eat healthy food,truth
I sometimes study before exams,truth
I didn't manage to study before exams,truth
I rarely exercise,truth
I occasionally wake up early,truth
I forgot to eat healthy food,truth
I sometimes study before exams,truth
I forgot to exercise,truth
I sometimes exercise,truth
I occasionally eat healthy food,truth
I rarely avoid my phone,truth
I didn't manage to avoid my phone,truth
I rarely study before exams,truth
I didn't manage to exercise,truth
I sometimes exercise,truth
I didn't manage to finish my homework,truth
I forgot to eat healthy food,truth
I occasionally finish my homework,truth
I sometimes eat healthy food,truth
I occasionally eat healthy food,truth
I rarely exercise,truth
I didn't manage to wake up early,truth
I didn't manage to avoid my phone,truth
I rarely eat healthy food,truth
I sometimes study before exams,truth
I rarely wake up early,truth
I sometimes avoid my phone,truth
I didn't manage to study before exams,truth
I didn't manage to finish my homework,truth
I rarely exercise,truth
I sometimes finish my homework,truth
I sometimes wake up early,truth
I didn't manage to avoid my phone,truth
I didn't manage to study before exams,truth
I rarely exercise,truth
I rarely exercise,truth
I sometimes study before exams,truth
I sometimes avoid my phone,truth
I forgot to avoid my phone,truth
I sometimes exercise,truth
I occasionally finish my homework,truth
I rarely wake up early,truth
I occasionally finish my homework,truth
I sometimes study before exams,truth
I rarely study before exams,truth
I occasionally wake up early,truth
I forgot to finish my homework,truth
I didn't manage to finish my homework,truth
I occasionally eat healthy food,truth
I forgot to exercise,truth
I didn't manage to exercise,truth
I rarely exercise,truth
I sometimes exercise,truth
I rarely avoid my phone,truth
I occasionally finish my homework,truth
I forgot to eat healthy food,truth
I sometimes study before exams,truth
I rarely study before exams,truth
I occasionally wake up early,truth
I rarely exercise,truth
I rarely finish my homework,truth
I rarely study before exams,truth
I sometimes wake up early,truth
I sometimes wake up early,truth
I sometimes finish my homework,truth
I didn't manage to finish my homework,truth
I sometimes wake up early,truth
I didn't manage to exercise,truth
I didn't manage to eat healthy food,truth
I forgot to study before exams,truth
I rarely eat healthy food,truth
I didn't manage to exercise,truth
I rarely wake up early,truth
I occasionally eat healthy food,truth
I occasionally wake up early,truth
I didn't manage to wake up early,truth
I occasionally eat healthy food,truth
I rarely study before exams,truth
I forgot to finish my homework,truth
I forgot to eat healthy food,truth
I occasionally eat healthy food,truth
I didn't manage to study before exams,truth
I didn't manage to finish my homework,truth
I rarely eat healthy food,truth
I rarely eat healthy food,truth
I sometimes study before exams,truth
I didn't manage to eat healthy food,truth
I forgot to eat healthy food,truth
I rarely finish my homework,truth
I rarely avoid my phone,truth
I sometimes finish my homework,truth
I didn't manage to wake up early,truth
I sometimes study before exams,truth
I forgot to avoid my phone,truth
I occasionally exercise,truth
I occasionally wake up early,truth
I sometimes study before exams,truth
I forgot to wake up early,truth
I didn't manage to eat healthy food,truth
I occasionally exercise,truth
I sometimes eat healthy food,truth
I definitely avoid my phone every day,lie
I never ever eat healthy food,lie
I strictly wake up early daily,lie
I always finish my homework,lie
I never ever study before exams,lie
I definitely avoid my phone every day,lie
I definitely avoid my phone every day,lie
I always avoid my phone,lie
I definitely eat healthy food every day,lie
I always finish my homework,lie
I strictly study before exams daily,lie
I always eat healthy food,lie
I definitely finish my homework every day,lie
I always exercise,lie
I definitely finish my homework every day,lie
I definitely eat healthy food every day,lie
I definitely exercise every day,lie
I never ever wake up early,lie
I never eat healthy food,lie
I definitely exercise every day,lie
I never ever exercise,lie
I strictly study before exams daily,lie
I never finish my homework,lie
I never eat healthy food,lie
I never avoid my phone,lie
I never ever avoid my phone,lie
I definitely eat healthy food every day,lie
I always avoid my phone,lie
I always eat healthy food,lie
I always wake up early,lie
I strictly wake up early daily,lie
I never eat healthy food,lie
I definitely wake up early every day,lie
I always exercise,lie
I never study before exams,lie
I definitely study before exams every day,lie
I always eat healthy food,lie
I definitely finish my homework every day,lie
I always avoid my phone,lie
I never eat healthy food,lie
I strictly study before exams daily,lie
I never ever wake up early,lie
I definitely avoid my phone every day,lie
I never ever study before exams,lie
I definitely study before exams every day,lie
I definitely study before exams every day,lie
I always wake up early,lie
I strictly eat healthy food daily,lie
I never ever avoid my phone,lie
I never ever finish my homework,lie
I never avoid my phone,lie
I definitely avoid my phone every day,lie
I always wake up early,lie
I strictly wake up early daily,lie
I never ever eat healthy food,lie
I always exercise,lie
I strictly eat healthy food daily,lie
I definitely study before exams every day,lie
I strictly wake up early daily,lie
I strictly exercise daily,lie
I definitely finish my homework every day,lie
I never ever finish my homework,lie
I always finish my homework,lie
I always eat healthy food,lie
I always wake up early,lie
I never exercise,lie
I strictly avoid my phone daily,lie
I never wake up early,lie
I never exercise,lie
I never eat healthy food,lie
I always exercise,lie
I never ever eat healthy food,lie
I definitely avoid my phone every day,lie
I definitely eat healthy food every day,lie
I never ever eat healthy food,lie
I never finish my homework,lie
I strictly wake up early daily,lie
I never ever avoid my phone,lie
I never wake up early,lie
I always finish my homework,lie
I never eat healthy food,lie
I never study before exams,lie
I never eat healthy food,lie
I never eat healthy food,lie
I definitely finish my homework every day,lie
I strictly avoid my phone daily,lie
I never study before exams,lie
I definitely wake up early every day,lie
I never ever eat healthy food,lie
I never wake up early,lie
I never finish my homework,lie
I definitely exercise every day,lie
I never exercise,lie
I never ever finish my homework,lie
I strictly finish my homework daily,lie
I never ever avoid my phone,lie
I never exercise,lie
I never exercise,lie
I never ever avoid my phone,lie
I never wake up early,lie
I never study before exams,lie
I never ever wake up early,lie
I never eat healthy food,lie
I definitely finish my homework every day,lie
I never ever wake up early,lie
I always wake up early,lie
I never finish my homework,lie
I strictly exercise daily,lie
I strictly avoid my phone daily,lie
I definitely study before exams every day,lie
I never avoid my phone,lie
I always wake up early,lie
I never ever study before exams,lie
I never wake up early,lie
I never ever avoid my phone,lie
I always exercise,lie
I never eat healthy food,lie
I strictly wake up early daily,lie
I definitely eat healthy food every day,lie
I always finish my homework,lie
I never wake up early,lie
I never eat healthy food,lie
I definitely finish my homework every day,lie
I always exercise,lie
I never wake up early,lie
I never ever avoid my phone,lie
I definitely study before exams every day,lie
I strictly finish my homework daily,lie
I always finish my homework,lie
I never ever exercise,lie
I never ever avoid my phone,lie
I strictly finish my homework daily,lie
I strictly finish my homework daily,lie
I never finish my homework,lie
I never ever avoid my phone,lie
I strictly study before exams daily,lie
I definitely exercise every day,lie
I never avoid my phone,lie
I never ever wake up early,lie
I always eat healthy food,lie
I definitely avoid my phone every day,lie
I never ever exercise,lie
I never avoid my phone,lie
I always exercise,lie
I strictly wake up early daily,lie
I definitely eat healthy food every day,lie
I strictly finish my homework daily,lie
I never ever finish my homework,lie
I strictly exercise daily,lie
I definitely exercise every day,lie
I never avoid my phone,lie
I strictly exercise daily,lie
I definitely study before exams every day,lie
I always avoid my phone,lie
I never avoid my phone,lie
I never study before exams,lie
I strictly exercise daily,lie
I never ever avoid my phone,lie
I never wake up early,lie
I always study before exams,lie
I always study before exams,lie
I definitely avoid my phone every day,lie
I never ever avoid my phone,lie
I never ever avoid my phone,lie
I always study before exams,lie
I always eat healthy food,lie
I always study before exams,lie
I definitely wake up early every day,lie
I never ever eat healthy food,lie
I always study before exams,lie
I always eat healthy food,lie
I never ever study before exams,lie
I never wake up early,lie
I never exercise,lie
I strictly avoid my phone daily,lie
I always finish my homework,lie
I never exercise,lie
I always avoid my phone,lie
I always wake up early,lie
I strictly study before exams daily,lie
I definitely exercise every day,lie
I definitely eat healthy food every day,lie
I never wake up early,lie
I definitely wake up early every day,lie
I always study before exams,lie
I never exercise,lie
I always exercise,lie
I strictly avoid my phone daily,lie
I never ever exercise,lie
I definitely finish my homework every day,lie
I strictly wake up early daily,lie
I strictly finish my homework daily,lie
I strictly wake up early daily,lie
I strictly finish my homework daily,lie
I always study before exams,lie
I never ever study before exams,lie
I never study before exams,lie
I never eat healthy food,lie
I never avoid my phone,lie
I always exercise,lie
I definitely finish my homework every day,lie
I never ever eat healthy food,lie
I always exercise,lie
I definitely exercise every day,lie
I always avoid my phone,lie
I definitely avoid my phone every day,lie
I always finish my homework,lie
I never study before exams,lie
I definitely avoid my phone every day,lie
I never wake up early,lie
I never finish my homework,lie
I never ever eat healthy food,lie
I strictly finish my homework daily,lie
I never ever finish my homework,lie
I definitely wake up early every day,lie
I definitely exercise every day,lie
I never ever wake up early,lie
I never ever finish my homework,lie
I strictly exercise daily,lie
I always exercise,lie
I never eat healthy food,lie
I definitely avoid my phone every day,lie
I strictly wake up early daily,lie
I always exercise,lie
I definitely wake up early every day,lie
I always finish my homework,lie
I always study before exams,lie
I strictly study before exams daily,lie
I definitely eat healthy food every day,lie
I strictly finish my homework daily,lie
I always finish my homework,lie
I always eat healthy food,lie
I definitely eat healthy food every day,lie
I definitely finish my homework every day,lie
I never ever eat healthy food,lie
I definitely wake up early every day,lie
I never wake up early,lie
I always eat healthy food,lie
I definitely eat healthy food every day,lie
I never ever wake up early,lie
I never ever finish my homework,lie
I never eat healthy food,lie
I definitely eat healthy food every day,lie
I strictly eat healthy food daily,lie
I never ever exercise,lie
I strictly avoid my phone daily,lie
I always finish my homework,lie
I definitely finish my homework every day,lie
I always exercise,lie
I strictly exercise daily,lie
I strictly finish my homework daily,lie
I always avoid my phone,lie
I strictly study before exams daily,lie
I strictly eat healthy food daily,lie
I definitely exercise every day,lie
I never ever exercise,lie
I always study before exams,lie
I definitely avoid my phone every day,lie
I strictly exercise daily,lie
I definitely wake up early every day,lie
I always avoid my phone,lie
I strictly wake up early daily,lie
I always finish my homework,lie
I never exercise,lie
I always finish my homework,lie
I never ever study before exams,lie
I definitely study before exams every day,lie
I always finish my homework,lie
I always exercise,lie
I strictly eat healthy food daily,lie
I never study before exams,lie
I never avoid my phone,lie
I definitely eat healthy food every day,lie
I definitely study before exams every day,lie
I definitely exercise every day,lie
I never finish my homework,lie
I never ever finish my homework,lie
I never finish my homework,lie
I definitely wake up early every day,lie
I never avoid my phone,lie
I never finish my homework,lie
I definitely exercise every day,lie
I definitely exercise every day,lie
I always eat healthy food,lie
I strictly study before exams daily,lie
I strictly exercise daily,lie
I never exercise,lie
I never exercise,lie
I never ever finish my homework,lie
I definitely eat healthy food every day,lie
I always eat healthy food,lie
I always avoid my phone,lie
I strictly exercise daily,lie
I never ever wake up early,lie
I definitely eat healthy food every day,lie
I definitely study before exams every day,lie
I definitely exercise every day,lie
I strictly wake up early daily,lie
I never eat healthy food,lie
I strictly avoid my phone daily,lie
I always finish my homework,lie
I never avoid my phone,lie
I never ever eat healthy food,lie
I never ever finish my homework,lie
I never exercise,lie
I always exercise,lie
I always eat healthy food,lie
I always study before exams,lie
I always avoid my phone,lie
I never wake up early,lie
I definitely study before exams every day,lie
I definitely exercise every day,lie
I definitely eat healthy food every day,lie
I strictly wake up early daily,lie
I strictly wake up early daily,lie
I strictly wake up early daily,lie
I always wake up early,lie
I definitely study before exams every day,lie
I never avoid my phone,lie
I always study before exams,lie
I never eat healthy food,lie
I never ever eat healthy food,lie
I definitely finish my homework every day,lie
I never ever exercise,lie
I definitely finish my homework every day,lie
I never ever exercise,lie
I never eat healthy food,lie
I definitely study before exams every day,lie
I never wake up early,lie
I never ever wake up early,lie
I always avoid my phone,lie
I never ever wake up early,lie
I definitely finish my homework every day,lie
I definitely exercise every day,lie
I never exercise,lie
I always exercise,lie
I always wake up early,lie
I never eat healthy food,lie
I always eat healthy food,lie
I strictly avoid my phone daily,lie
I definitely eat healthy food every day,lie
I never exercise,lie
I never study before exams,lie
I definitely avoid my phone every day,lie
I strictly avoid my phone daily,lie
I never wake up early,lie
I definitely eat healthy food every day,lie
I always avoid my phone,lie
I never avoid my phone,lie
I definitely avoid my phone every day,lie
I never study before exams,lie
I definitely study before exams every day,lie
I always avoid my phone,lie
I strictly finish my homework daily,lie
I never ever avoid my phone,lie
I always exercise,lie
I definitely finish my homework every day,lie
I strictly wake up early daily,lie
I never ever avoid my phone,lie
I always avoid my phone,lie
I never wake up early,lie
I never ever finish my homework,lie
I never eat healthy food,lie
I never finish my homework,lie
I always avoid my phone,lie
I definitely eat healthy food every day,lie
I strictly exercise daily,lie
I always eat healthy food,lie
I always finish my homework,lie
I strictly wake up early daily,lie
I strictly eat healthy food daily,lie
I strictly study before exams daily,lie
I definitely study before exams every day,lie
I never ever study before exams,lie
I never avoid my phone,lie
I never ever exercise,lie
I strictly study before exams daily,lie
I never ever finish my homework,lie
I never study before exams,lie
I never ever exercise,lie
I never ever eat healthy food,lie
I strictly finish my homework daily,lie
I never ever wake up early,lie
I definitely avoid my phone every day,lie
I always eat healthy food,lie
I never ever study before exams,lie
I always finish my homework,lie
I never ever study before exams,lie
I definitely eat healthy food every day,lie
I never study before exams,lie
I definitely exercise every day,lie
I definitely wake up early every day,lie
I definitely study before exams every day,lie
I definitely eat healthy food every day,lie
I never study before exams,lie
I never finish my homework,lie
I definitely avoid my phone every day,lie
I definitely wake up early every day,lie
I never finish my homework,lie
I always exercise,lie
I always avoid my phone,lie
I never study before exams,lie
I strictly eat healthy food daily,lie
I never ever eat healthy food,lie
I always exercise,lie
I always exercise,lie
I never ever exercise,lie
I definitely study before exams every day,lie
I strictly exercise daily,lie
I always exercise,lie
I strictly avoid my phone daily,lie
I never eat healthy food,lie
I never ever eat healthy food,lie
I always study before exams,lie
I strictly study before exams daily,lie
I strictly eat healthy food daily,lie
I always eat healthy food,lie
I never ever study before exams,lie
I never study before exams,lie
I never ever study before exams,lie
I strictly finish my homework daily,lie
I never study before exams,lie
I definitely wake up early every day,lie
I strictly study before exams daily,lie
I never study before exams,lie
I always wake up early,lie
I never avoid my phone,lie
I never ever finish my homework,lie
I never ever study before exams,lie
I strictly wake up early daily,lie
I definitely avoid my phone every day,lie
I never ever avoid my phone,lie
I never wake up early,lie
I never ever finish my homework,lie
I never finish my homework,lie
I never eat healthy food,lie
I never avoid my phone,lie
I definitely avoid my phone every day,lie
I never finish my homework,lie
I never ever study before exams,lie
I never ever wake up early,lie
I never exercise,lie
I always finish my homework,lie
I never ever eat healthy food,lie
I always wake up early,lie
I definitely finish my homework every day,lie
I always study before exams,lie
I never ever eat healthy food,lie
I always finish my homework,lie
I never finish my homework,lie
I never ever avoid my phone,lie
I always avoid my phone,lie
I definitely exercise every day,lie
I never ever avoid my phone,lie
I never ever avoid my phone,lie
I strictly exercise daily,lie
I strictly finish my homework daily,lie
I never ever finish my homework,lie
I always wake up early,lie
I strictly eat healthy food daily,lie
I never study before exams,lie
I always eat healthy food,lie
I definitely study before exams every day,lie
I never ever exercise,lie
I never ever finish my homework,lie
I definitely eat healthy food every day,lie
I never finish my homework,lie
I always finish my homework,lie
I definitely finish my homework every day,lie
I definitely finish my homework every day,lie
I never ever wake up early,lie
I never wake up early,lie
I definitely exercise every day,lie
I never ever study before exams,lie
I never ever study before exams,lie
I definitely exercise every day,lie
I never wake up early,lie
I always finish my homework,lie
I always avoid my phone,lie
I never eat healthy food,lie
I never finish my homework,lie
I always eat healthy food,lie
I definitely exercise every day,lie
I strictly exercise daily,lie
I never ever wake up early,lie
I never avoid my phone,lie
I always avoid my phone,lie
I strictly wake up early daily,lie
I definitely study before exams every day,lie
I never wake up early,lie
I never ever eat healthy food,lie
I always avoid my phone,lie
I always wake up early,lie
I strictly wake up early daily,lie
I strictly study before exams daily,lie
I never ever study before exams,lie
I never exercise,lie
I strictly finish my homework daily,lie
I always study before exams,lie
I strictly finish my homework daily,lie
